dataset,variable,lag,autocorrelation,z_stat,p_value,reject_5pct
daily,r_uci,1,-0.008193323646037445,-0.400300672625123,0.688935072599717,False
daily,r_uci,5,0.03679519540075105,1.7977004332566509,0.07222449273979614,False
daily,r_uci,10,-0.0004625899057701837,-0.022600724495846495,0.9819687659121388,False
daily,r_uci,20,0.005455670239079626,0.26654732080315763,0.7898177203460108,False
daily,r_fx,1,0.0029625596280020644,0.14474158021998887,0.8849149085532213,False
daily,r_fx,5,0.0038445710407920357,0.1878339536029952,0.851006818344173,False
daily,r_fx,10,0.00039733612288516437,0.019412624732102875,0.9845119392269857,False
daily,r_fx,20,-0.00025288604432248515,-0.012355236777294373,0.9901421981329621,False
weekly,r_uci,1,0.015183233766486542,0.3395074282013408,0.7342275021505533,False
weekly,r_uci,4,-0.015703759140671125,-0.3511467294082432,0.7254782722351147,False
weekly,r_uci,8,-0.09327646882560735,-2.08572524995198,0.03700351786279832,True
weekly,r_uci,12,0.006245480557904043,0.1396531907962675,0.8889340121943141,False
weekly,r_fx,1,0.010837343119761322,0.2423303591127596,0.8085241915173775,False
weekly,r_fx,4,0.009196026647386422,0.2056294070645553,0.8370804048638985,False
weekly,r_fx,8,0.01057452851780883,0.23645364595830642,0.8130806726476765,False
weekly,r_fx,12,0.009380207798660056,0.20974782280877546,0.8338644984458132,False
