dataset,variable,lag,ljung_box_stat,p_value,reject_5pct
daily,r_uci,1,0.16042870820603788,0.6887621220030296,False
daily,r_uci,5,5.020015894166349,0.4134423094630879,False
daily,r_uci,10,82.46613635580185,1.646686716439511e-13,True
daily,r_uci,20,84.92781324696355,5.633479395784385e-10,True
daily,r_fx,1,0.02097525161638696,0.8848463963638857,False
daily,r_fx,5,0.30762421889952846,0.9974972305478947,False
daily,r_fx,10,0.5486264979782448,0.9999896936570255,False
daily,r_fx,20,1.1048277921079357,0.9999999995581755,False
weekly,r_uci,1,0.11584374306827523,0.7335867502605613,False
weekly,r_uci,4,10.148218514756334,0.03800361838231,True
weekly,r_uci,8,25.84646730887206,0.0011157482117476844,True
weekly,r_uci,12,26.228151969138686,0.00996348419832866,True
weekly,r_fx,1,0.05907207744846941,0.8079686163843856,False
weekly,r_fx,4,0.1465959640300544,0.9974414310512337,False
weekly,r_fx,8,0.3038124779125843,0.9999803461174964,False
weekly,r_fx,12,0.4199121700885347,0.9999999005900638,False
