metric,value
Daily observations,2387.0
Daily UCI zero-return count,253.0
Daily UCI zero-return share,0.10599078341013825
Daily UCI zero-volume count,42.0
Daily UCI zero-volume share,0.017595307917888565
Daily average trading volume,98296381.05571848
Daily average trading value,12193251785.717564
Weekly observations,500.0
Weekly UCI zero-return count,14.0
Weekly UCI zero-return share,0.028
Weekly UCI zero-volume count,1.0
Weekly UCI zero-volume share,0.002
Weekly average trading volume,469266923.16
Weekly average trading value,58210584025.01564
