dataset,variable,q,observations,variance_ratio,z_homoskedastic,p_homoskedastic,z_robust,p_robust,reject_5pct_robust
daily,r_uci,2,2387,0.9921810931536539,-0.38200781575365417,0.7024555673677044,-0.5100299589756733,0.6100304731836474,False
daily,r_uci,4,2387,0.9633153157606609,-0.9580252874421903,0.33805000739646784,-1.0095749298676782,0.3126989857922797,False
daily,r_uci,8,2387,0.9267620065478731,-1.2096469093247928,0.226414409895348,-0.9729406584582313,0.33058279597372486,False
daily,r_uci,16,2387,0.7934871110986325,-2.292200041093768,0.021894102589968822,-1.0587008956765913,0.2897360198419858,False
daily,r_fx,2,2387,1.0033530828956407,0.16382134973295392,0.8698717840833754,2.047537373085715,0.04060535126245357,True
daily,r_fx,4,2387,1.0003625629463584,0.009468378373784869,0.992445439957842,0.11307989666310121,0.909967212891134,False
daily,r_fx,8,2387,1.0105904121601643,0.17491821845709565,0.861143894711123,1.0089432850978093,0.31300183464276987,False
daily,r_fx,16,2387,1.0273249767754986,0.30329493341018005,0.761665107017278,1.52502762133662,0.127252208398418,False
weekly,r_uci,2,500,1.016720595433731,0.3738838801409522,0.7084907099270503,0.4091103274502894,0.6824586976553606,False
weekly,r_uci,4,500,0.8770639453574246,-1.4693668962750241,0.14173330114420768,-0.6914613832639767,0.4892756405413712,False
weekly,r_uci,8,500,0.8390948139613055,-1.2163288769113367,0.22385966543572833,-0.5736746031357339,0.5661880174269611,False
weekly,r_fx,2,500,1.0128216902895693,0.28670171073925815,0.7743407275768925,1.4866862785374395,0.13709768838960912,False
weekly,r_fx,4,500,1.0318982309591511,0.38125678229533494,0.7030127188833859,1.9482597073333063,0.05138389575145008,False
weekly,r_fx,8,500,1.0718005783639761,0.5427613552619591,0.5872941239415272,2.824133345266356,0.004740865647783865,True
